warenId,ware,ware_quelle,kurzbeschreibung,literatur
2766,"Gallus, Weihrauch",gallus und weyrauch,,
2767,"Mandeln, Veilchenwurzeln",mandl und veiglwurzen,,
2768,Kugelbüchsen,kugl pixen,Büchse,
2769,Lerchen,lerchen,Singvögel,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Lerche</a>&quot;."
4525,"Bleiweiß, Farben",bleyweis und farben,,
2770,Stauden (Bozner),"pozner stauden, bottzner stauden",,
2771,Fleisch (gesalzen),gesalzens fleisch,,
2772,Aalfisch (in Essig),alfisch in essig,,
2773,Rupfen (blau),blaue rupfen,,
2774,"Blumenwerk, Kleider",klaider und blumen werch,"Blumenwerk: Zwiebel, Knollen und Gewächse, mit denen Gärtner Handel treiben. Dieser wird zum Großteil über die Niederlande abgewickelt.","Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Blumenwerk</a>&quot;.<br />"
2775,Silbergeschirr (alt),altes silber gschier,,
2779,Schächterl (silbern),silberne schächterl,,
2780,Suppenschalen (silbern),silberne suppen schallen,,
2781,Kamisol,camisöller,"Kurze Weste und Unterbekleidung für Männer, oder die Bezeichnung für ein Korsett für Frauen.","Krünitz, ""Kamisol"""
2782,Hunde (herrschaftlich),herrschafts hunde,,
2783,Geschirr (steinern),steines gschier,,
2784,"Kalbhäute (gearbeitet), Kuhhäute (gearbeitet)","gearb:küe:und kalbm heitl, gearb: küe und kalbm heith",,
2785,"Bockfelle, Schaffelle",wokh oder schaffehl,,
2786,Wurzen (schlecht),schlechte wurzen,,
2787,Pflaumen,pflämen,,
2788,Gengleitern (gläsern),glosseren gengleithern,,
2789,Sporerware,"sporer waar, sparer waar",Von Spornmachern oder Sporernh ergestellte Produkte.,"Kr&uuml;nitz, Encyklo&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Sporer</a>&quot;. "
2790,Teppich (gedruckt),getruckhte tebbich,,
2791,"Farbware, Fischbein",fischbain und farbwaaren,,
2792,"Krämerei (gemein: Bergweiß, Fenchel, Gallus, Mennige)","gmaine crammerej an fenichl, bleyweiß, menig und gallus",,
2793,"Gummi, Mennige",menig und gumi,,
2794,"Pfeffer, Zimt",pfeffer und zimet,,
6019,"Anis, Bleiweiß, Krämerei, Kreide, Süßholz, Vitriol","crammerei, bleyweiss, kreiden, victriol, aneys und siessholz",,
6020,"Pfeffer, Spezereiware",pfeffer und specereiwaar,,
6022,"Band, Flor, Spitze (Amberger)","amberger spiz, florr und band",,
6023,"Farbe, Pottasche",farb et pottaschen,,
6024,"Mennige, Prisil, Waid","prisill, wayd und menig",,
2797,Kandiszucker,"condis zuckher, zukher gandl, condiert zugger, candis zukher",,
2798,"Gut (fein, beschlagen)",fein beschl: guett,,
2799,Uhrmacherware,uhrnmacher wahr,,
2800,"Anis, Waid",waid und anneiß,,
2801,"Kuhhäute, Rosshäute",küe und rossheut,,
2802,Äpfel (gemein),"gmaine öpfl, ord: öpfl",,
2803,"Holzpinsel, Kielpinsel","holz und kilpempsl, holz und kiell pembsl",,
2804,"Holz, Krämerei",holz und crammerei,,
8600,"Bücher (alt), Bücher (neu)",alt und neue büecher,,
4790,"Hornware, Krämereiware",horn: und crammerej: waar,,
2807,Kleinigkeiten (unterschiedlich),underschiedliche klainigkheiten,,
2808,Erdengeschirr (blau),blaue erden gschirr,,
2809,Apothekerei,apadeckherei,,
2810,Zinnklampfen,zihn klampfen,,
2811,"Bauholz, Laden",pauholz und laden,,
2812,Gut (beschlagen: Borten),beschl: guett an porten,,
2813,Beten (Messing),mössing petten,,
2817,Wetzsteine (welsch),welisch wezstain,,
2818,Staffel (aus Lärche),lerchpaumen stäfln,,
2819,Hasenhaar,haaßen:haar,,
2820,Scheffelpech,schäffl bech,Scheffelpech/Jungfernpech: Bezeichnung für das reinste Pech.,"Georg Andrea Agricola, (...) Versuch der Universal Vermehrung aller Bäume, Stauden, und Blumen-Gewächse (...) (Regensburg 1716) 155."
2821,Scheren (eisern),eisern schärn,,
2822,Kommissschnallen,commiss:schnalln,"Die Bezeichnung ""Kommiss"" deutet auf das Militär, den Militärdienst hin.
Siehe Duden, Die Deutsche Rechtschreibung, 633.",
2823,Beinware,painene waar,,
2824,Scherben,scherm,Irdenes Gefäß.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Scherben</a>&quot;; Thadd&auml; Anselm Rirner, Handw&ouml;rterbuch der Deutschen Sprache (...), Bd. 2: L-Z (Sulzbach 1830), &quot;Scherben&quot;, 122."
2826,"Kirschenwasser, Lebzelten",kerschen wasser und lebzelten,,
2827,Eisenware (alt),alte eisenwaar,,
2830,Kreide (geschwemmt),gschwembte kreuden,,
2832,Cicole,"cicole, cicaler, zicale, zizele",Evtl. Ciccioli (Grieben).,
2833,Sockenware,socken waar,,
2834,Farbe (schwarz),schwarze farb,"Schwarz ist die dunkelste aller Farben und wird am häufigsten benötigt. Es wird u. a. aus Rus, Elfenbein, Kohle, Kork, Galläpfeln etc. hergestellt.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""&quot;Operment&quot;"">Schwarz</a>&quot;."
2835,Feuerspritzen,"feur sprizen, feur sprüzen",,<p>&nbsp;</p><p>&nbsp;</p>
2836,Hüllen (silbern),silberne hilln,,
2837,Kastanien (gedörrt),"gedörte kösten, dierre kösten",,
2839,Pasta di Genova,paste de Gienova,,"Codex Austriacus Supp. II, 959."
2841,Ebenholz,ebenholz,"ist eine außereuropäische Holzart, die besonders hart, schwer, schwarz (oder schwarz gestreift) und daher auch sehr wertvoll ist.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Ebenholz</a>&quot;; wikipedia,&nbsp;&quot;<a href=""http://de.wikipedia.org/wiki/Ebenholz"">Ebenholz</a>&quot;."
2842,Schwarzkirschenwasser,schwarz kerschen wasser,"Destillat der schwarzen Kirsche, das in der Medizin genutzt wurde. ","<p><a href=""http://books.google.at/books?id=n6E8AAAAcAAJ&amp;pg=PA256&amp;dq=schwarzkirschenwasser&amp;hl=de&amp;sa=X&amp;ei=C407VK6HBaPgyQOYw4KIBw&amp;ved=0CDoQ6AEwAQ#v=onepage&amp;q=schwarzkirschenwasser&amp;f=false"">http://books.google.at/books?id=n6E8AAAAcAAJ&amp;pg=PA256&amp;dq=schwarzkirschenwasser&amp;hl=de&amp;sa=X&amp;ei=C407VK6HBaPgyQOYw4KIBw&amp;ved=0CDoQ6AEwAQ#v=onepage&amp;q=schwarzkirschenwasser&amp;f=false</a></p><p>256</p><p>&nbsp;Rheinisches W&ouml;rterbuch, &quot;<a href=""http://woerterbuchnetz.de/cgi-bin/WBNetz/wbgui_py?sigle=RhWB&amp;lemid=RS15831"">Schwarzkirsche</a>&quot;. </p>"
2843,Wagen (herrschaftlich),"herrschäfftl. waagen, herrschafts waagen",,
2844,Seemuscheln,see muschell,,
2845,Salvetzeug,salvet zeug,,
2846,Handtücher (ganz schmal),ganz schmalle handtuech,,
2847,"Bagage, Tischzeug",bogage und dischzeug,,
2848,Sachen (kandiert),candirte sachen,,
2849,Käse (Engadiner),engediener kääs,,
2850,Heiliges Grab,heiligen grab,,
2851,Schleifsteine (groß),grosse schleifstain,,
2852,Silberware (repariert),reparirter silber wahr,,
2853,"Seifen, Wasser (riechend)",saiffen und riechente wasser,,
2854,"Birnen, Früchte",fricht und piern,,
2855,Geigen (gemein),gmaine geigen,,
2856,"Eisenware, Gewehr",gwöhr und eisen waar,,
2857,Cochenille,"concenille, conchenil, conchevillie, conchonille, concionille, choenillie, cochinilia, chonenille","Getrocknete und zerriebene Weibchen der besonders in Mexiko auf Kaktusplantagen gezüchteten Schildlaus, die den purpurroten Farbstoff Cochenille liefert.","Kr&uuml;nitz, Encyklop&auml;die, &quot;Cochenille&quot;."
2858,"Teegeschirr, 2 Uhren (golden)",thee gschier und 2 goldene uhrn,,
2859,Büchsensteine,pixenstain,siehe Feuerstein.,
2860,"Bücher, Krämerei",crammerej und büecher,,
2861,"Äpfel, Birnen",öpfl und piern,,
2862,"Band (mit Gold, Silber)",pand mit gold und silber,,
2863,Zwischgold,zwischgold,,
2864,Bouteillen (gläsern),glöserne boutellen,,
2865,"Farbe, Krämerei",farb et crammerei,,
2866,Mannsbildfiguren,mansbildfiguren,,
2867,Schnapphähne,schanp haner,Flinten mit einer Schnappvorrichtung.,"Adelung, &quot;<a href=""http://woerterbuchnetz.de/cgi-bin/WBNetz/wbgui_py?sigle=Adelung&amp;lemid=DS02349"">Schnapphahn</a>&quot;. "
2868,Fernambuck,"fernombokh, fernerpokh",Art des Brasilienholzes.,"<p>Kr&uuml;nitz, Art. <a href=""http://www.kruenitz1.uni-trier.de/"">&quot;Fernambuck=Holz&quot;</a>.</p>"
2869,Rauchen (gemein),gmain rauchen,,
2870,Ölware,öhlwaar,"alle Waren, in denen Öl enthalten ist.",
2986,Kemppschlicht,kempp:schlicht,"Bedeutung unklar. Wahrscheinlich textiler Kontext. ""Schlichten"" bedeutet das ""Tränken der Kettenfäden mit Mehl- oder Stärkekleister"" (Heiden). Es gibt ""Schlichtbürsten"" und ""Schlichtmaschinen""","Heiden, Handwörterbuch, 462."
2872,"Spezialwein, Wein (Tiroler)",tyroller- und andere special wein,,
2873,"Leinöl, Wagenschmiere",leinöhl und wagnschmier,,
2875,Kuhhäute (zugerichtet),zuegerichte küeheit,,
6026,Trockenfrüchte,"druckhene fricht, drokhen fricht",,
6027,"Eisenware, Kupferware",eisen und kupfer waar,,
6028,Plüsch (blau),blauer pläsch,,
2877,Bilder (alt),alte bilder,,
2878,Frauenglas,frauen glas,"oder Marienglas ist ein Gipsspat, also ein kristaliner, blättchenförmiger und ungebrannter Gips.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Marienglas</a>&quot;.<br />"
2879,Speckschweine,s.v. spöckschwein,,
2880,Pillen (Frankfurter),"franckfurter biller, franckhfurter billel",Arzneimittel.,https://de.wikipedia.org/wiki/Frankfurter_Pillen
2881,Messgewänder,mössgwänder,Liturgische Gewänder,"<p>Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Liturgisches_Gewand"">Liturgisches Gewand</a>&quot;.</p>"
2882,Palatin,"pallatin, ballatinel, phallatin",Halstuch für Frauen.,"<p>Kr&uuml;nitz,&nbsp;Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">2. Palatin</a>&quot;.</p>"
2883,Teeschälchen,"thee schällerl, thee schallerl",,
2884,"Austern, Schokolade, Tee, Zucker","zuckher, chocolate, thee und austern",,
5265,Nähgold,nää gold,,
2886,Frauenkleider,"frauen klaidern, frauen zimmer klaidung",,
2887,Kammertuch,"camer tuech, cammer tuech","Weiße, zarte, feine Leinwand, benannt nach der flandrischen Provinz Cambresis.","Kr&uuml;nitz, Encyklop&auml;die, &quot;Kammertuch&quot;."
2889,Blumengewächs,blumen gewächs,,
2890,"Kaffeegeschirr (blechern, hölzern)",hilzern und blechen cavee gschierl,,
2891,"Fleisch, Zelten",fleisch und zelten,,
2892,Alabasterware,"alawaster waar, ollawaster waar, allobasterwahr","Als Alabaster bezeichnet man eine häufig vorkommende, kristalline Form von Gips, deren Farbe - je nach Fundort - weiß, gelb, hellbraun, rötlich und grau sein kann. Der Stoff ist zwar leicht zu bearbeiten, aber wenig wetterbeständig, weshalb er sich vor allem für die Herstellung von Gegenständen im Inneren des Hauses eignet, beispielsweise Altäre, Grabmäler und Kanzeln.","<p>wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Alabaster"">Alabaster</a>&quot;; RDK, &quot;<a href=""http://rdk.zikg.net/gsdl/cgi-bin/library.exe?e=q-01000-00---off-0rdkZz-web--00-1--0-10-0---0---0prompt-10-TE%2cPL%2cPR%2cTT--4--alabaster%2c%2c%2c--Sec---0-1l--11-de-Zz-1---20-gall%2efig-%5balabaster%5d%3aTE+--01-3-1-00-0-0-11-1-0utfZz-8-00&amp;a=d&amp;c=rdk-web&amp;cl=&amp;d=Dl48.1#mark"">Alabaster</a>&quot;</p>"
2893,Früchte (kandiert),candirte fricht,,
2894,Wein (Vatte),vattl/vatte [?] wein,,
2895,Branntweingleger,prandwein:gleger,,
2896,Streichkäse,streich kääs,,"<p>Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Streichk&auml;se</a>&quot;. </p>"
2897,Halbseidenbarcan,"halbseiden barcan, halbseuden pasamani",Barcan (Bercan): Stoff aus Kamel- oder Ziegenhaaren.,"Kr&uuml;nitz, &quot;Bercan&quot;.<br />"
2898,Farbe (fein),feine farb,,
2899,"Geißenfelle, Schaffelle",geis und schaffehl,,
2900,"Feigen, Johannisbrot",feigen und johanns:brod,Johannisbrot: siehe Carobe.,
2901,Kletzenbrot,klezen brod,,
2902,Degenkreuz,degen creuz,ist ein Teil des Degengefäßes.,"Deutsches W&ouml;rterbuch von Jakob und Wilhelm Grimm, &quot;<a href=""http://woerterbuchnetz.de/DWB/call_wbgui_py_from_form?sigle=DWB&amp;mode=Volltextsuche&amp;hitlist=2053212&amp;firsthit=10&amp;textpattern=schmutzig&amp;lemmapattern=&amp;patternlist=T:schmutzig&amp;lemid=GD01204"">Degenkreuz</a>&quot;.<br />"
2903,Degenkreuz (silbern),silberne degen creuz,,
2904,Papppapier,"papp papier, pappdekhl papier",,
2905,Papier (holländisch),hollent. papier,Die Holländer waren Vorreiter der Papierherstellung und konnten mit verschiedenen Verfahren des Pressens und Austauschs des Papiers die Produktion erhöhen.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Papier</a>&quot;; Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Papier"">Papier</a>&quot;. "
2906,Castor,castor,"Biber. Die Haare, die zu Strümpfen, Hüten, Tüchern etc. verarbeitet werden, sind besonders hochwertig.","Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Biber</a>&quot;; Schedel, 1814, S. 219, &quot;Castor&quot;. "
2907,Spitze (wollen),wohlene spüz,,
2908,Geschirr (holländisch),hollent. gschir,,
2909,Hirschhäute (ungearbeitete),ungearbeithe hiersch heit,,
2910,Monturschnallen,montur schnallen,,
2911,Canevas,conafas,"Leinwand; weitmaschiges offnes Gewebe aus Leinen, Halbleinen oder reiner Baumwolle.","Mautordnung Karls VI. vom 1.1.1726, &quot;Consumo-Vectigal&quot;, S. 14 unten; Heiden, Handw&ouml;rterbuch, 280: &quot;Kanevas&quot;."
2912,Flaschen (gläsern),"glöserne flaschen, lähr glossenrne flaschen, glöser flaschen",,
2913,Schwefelstaub,schwebl:staub,,
2914,Wein (gesotten),"gesottener wein, gesodnen wein",Traubenmost,"<p><a href=""http://woerterbuchnetz.de/DWB/?lemma=Traubenmost"">Grimm, W&ouml;rterbuch, &quot;Traubenmost&quot;</a></p>"
2915,Waagbalken (eisern),eiserne waag:palckhen,,
2916,"Pferdegeschirr, Wagen (neu)",1 neuen wagen sambt denen pferdgeschiern,,
2917,Seefischel,seefischel,Meeresfische.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Seefisch</a>&quot;."
2918,"Erdengeschirr, Krüge (steinern)",staine krieg und erden gschier,,
2919,Pittlinghäutel,"bickhling heutl, pückling heitl, pikhling heutl, pitling heitl, bitling heitl, bittling heutl",Fresserhaut: Haut junger Tiere bis zum ersten Lebensjahr.,
5706,Decken (gestickt),döckhen so [?] gestückh,,
5707,Eisendraht (leonisch),leonisch. eißen dratt,,
5708,"Krämerei (ganz schlecht: Anis, Mennige, Kreide)","ganz schlechte crammerej an kreiden, anneis, venig und dergleichen",,
2921,"Blechware, Sanduhr",blechwaar und sand uhrn,,
2922,Soldatenhalsbändel,soldathen halsbindl,,
2923,"Kapern, Öl",öhl und capri,,
2924,Kuhleder,küe leeder,"Siehe ""Kuhhaut"".",
2926,Steinglätte,stain glett,,
2927,Schmalte (böhmisch),böhamb. schmolden,,
2928,"Bleiweiß, Kupferwasser",bleyweis und kupferwasser,Kopperwasser oder Kopperwater ist eine veraltete Bezeichnung für unreines Eisenvitriol und diente als Beiz- bzw. Gerbmittel.,
2929,Bilder (steinern),stainerne bilder,,
4777,Bandmuster,band muster,,
4779,Farben (Tiroler) ,tyroller farben,,
4780,Leinwand (aus Rupfen),rupfene leinwath,,
4781,Taubenfutter,dauben fueder,,
4782,Drogerie (gering),geringe drogariae,Lesung unsicher,
4783,"Flor, Tüchel",flor vnd tiechln,,
4784,"Kuhhäute (gearbeitet), Ochsenhäute (gearbeitet)",gearb. küe und oxn heut,,
2932,"Carobe, Gallus, Kropfschwämme","gallus, carobe und kropf schwamb","Kropfschwamm: ist eine, aus dem Meeresschwamm entstehende Ablagerung an Felsen, die Jod enthält und daher zur Behandlung des Struma oder Kropfs eingesetzt wurde.","Zeno.org, Pierer&acute;s Universal-Lexikon, &quot;<a href=""http://www.zeno.org/Pierer-1857/A/Kropfschwamm"">Kropfschwamm</a>&quot;.<br />"
2933,"Ware (Nürnberger, ganz gemein)",ganz gmaine niernberger waar,,
2934,Rötel,"redl, rödl","Rötel, Mineralfarbe (Eisenoxid), die zum Zeichnen, zum Stillen von Blutungen (Medizin) und im Schmelzwesen verwendet wird. ","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"" target=""_blank"">R&ouml;thel</a>&quot;."
2935,Kappen (wollen),wohlene kapen,,
2936,"Anis, Fischbein, Mennige","ameis, fischbain und menig",,
2937,Barbierkugeln,palwier:kugln,Von Stärke- und Perückenmachern hergestellte Tinktur für den Friseurbedarf.,
2940,Kupferwasser (schlecht),schlechtes kupfer:wasser,,
2942,Zugseil (groß),grosses zug:saill,,
2943,Fräss,"fräss, fras",,
2944,Haar (ausgemacht),außgemacht haar,,
2946,"Bier (Aschacher Markt-, gemein)",hiesiges gmaines markht pier,,
2948,"Krämerei, Tuch",tuech und crammerej,,
2949,Pallasch,polläsch,"Hieb- und Stichwaffe mit gerader Klinge, die ursprünglich von der ungarischen Kavallerie getragen wurde.","<p>Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Pallasch"">Pallasch</a>&quot;.</p>"
2950,Kamelhaarhüte,"camel harene hieth, cammell harrene hüeth",,
2951,Rupfen (grob),grobe rupfen,,
2963,Messingpfennig,messing pfening,,
2952,Wermutgeist,wermet geist,,
2953,Schüssel (silbern),silberne schissl,,
2954,Schuhe (bestickt),gestickhte schuech,,
2955,Pantoffel (mit Gold und Silber bestickt),pandoffl mit gold und silber gestickht,,
2956,Montursorten,mondur:sorten,,
2957,Sesselgestelle,sessl gstöll,,
2959,Schreibkasten (neu),neue schreib kästen,,
2960,Register (gedruckt),getrukhte register,"Verzeichnis von Namen oder Gegenständen.
","<p>Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Register</a>&quot;.</p>"
2961,Decken (türkisch),türckhische dökhen,"sind besonders wertolle Decken, beispielsweise aus Seide oder mit einer von Gold und Silber durchwirkten Borte, die nur am Schwarzen Meer hergestellt werden.
Die Bezeichnung erscheint aber auch abwertend mit dem Zusatz ""grob"", als Ersatz für eine Matraze.",<p>http://books.google.at/books?id=Q75CAAAAcAAJ&amp;pg=PA58&amp;dq=t%C3%BCrkische+Decken&amp;hl=de&amp;sa=X&amp;ei=GxzOU9iJE6LNygPsi4LYCg&amp;ved=0CGMQ6AEwCQ#v=onepage&amp;q=t%C3%BCrkische%20Decken&amp;f=false</p><p>&nbsp;http://books.google.at/books?id=2Uo7AAAAcAAJ&amp;pg=PA301&amp;dq=t%C3%BCrkische+Decken&amp;hl=de&amp;sa=X&amp;ei=GxzOU9iJE6LNygPsi4LYCg&amp;ved=0CEMQ6AEwBA#v=onepage&amp;q=t%C3%BCrkische%20Decken&amp;f=false</p><p>&nbsp;http://books.google.at/books?id=qgtAAAAAcAAJ&amp;pg=PA246&amp;dq=t%C3%BCrkische+Decken&amp;hl=de&amp;sa=X&amp;ei=Wh3OU7TDCom_ygOe0YGYDQ&amp;ved=0CFsQ6AEwCDgK#v=onepage&amp;q=t%C3%BCrkische%20Decken&amp;f=false</p>
2962,Porzellanbecherl,porcelan böcherl,,
2964,Sesselnägel,sessl:nogl,,
2965,Schinken (geräuchert),gerauchte schunckhen,,
2967,"Tressborten (golden, silbern)","gold und silber thressporthen, beschlag. guett an gold und silber tressporthen, bschl. guett an gold und silber dressen",,
2968,"Krämerei, Zwirn",crammerej und zwiermb,,
7474,Elendleder,elendleder,Elchleder,
7485,Scharschindeln,schar schindl,"Geschnittene Schindeln, die genagelt werden (für ein Schardach).","Deutsches Wörterbuch von Jacob und Wilhelm Grimm. Lfg. 12 (1893), Bd. VIII (1893), Sp. 2178, Z. 63; Deutsches Wörterbuch von Jacob und Wilhelm Grimm. Lfg. 12 (1893), Bd. VIII (1893), Sp. 2221, Z. 66.."
7486,Pfeffer (lang),langer pfeffer,Gewürz,https://de.wikipedia.org/wiki/Langer_Pfeffer
7487,Schuhfleck,schuechflöckh,,
7488,"Krämerei (schlecht: Anis, Kreide, Mennige, Süßholz, Vitriol u.a.)","schlechte crammerej an menig, aneiß, victriol, kreiden, siessholz und dergleichen waar",,
7489,"Anis, Süßholz, Waid","aneis, siessholz und wayd",,
2970,Nägel (aus Eisen),"eisserne nögl, eiserne nögl",,
2971,Lammfelle (roh),"rauche lämplfehl, roche lampfehl",,
2972,"Bücher, Schuhe",büecher und schuech,,
2973,Blümel,"bliembl, pliembln",,
2974,Kristallleuchter,cristalener leichter,,
2975,Bild,bild,,
2976,Seidentuch,seiden tuech,,
2977,Gürtel (silbern),silberne gürtl,,
2978,Mercerieware,mercerie waar,"Geringe Waren, die von den Krämern verkauft werden.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Mercerie</a>&quot;. "
2979,Husarensäbel,husarn säbl,"Husar: ungarischer Reiter, eigentlich der zwanzigste Mann, der seit 1445 unter König Matthias gestellt werden musste. Husarensäbel: Säbel wie ihn der Husar trug.","<p><a href=""http://books.google.at/books?id=sBFJAAAAcAAJ&amp;pg=PA253&amp;dq=Husarens%C3%A4bel&amp;hl=de&amp;sa=X&amp;ei=SvHsU4LcD4LIyAPj_ICgDA&amp;ved=0CDQQ6AEwBA#v=onepage&amp;q=Husarens%C3%A4bel&amp;f=false"">http://books.google.at/books?id=sBFJAAAAcAAJ&amp;pg=PA253&amp;dq=Husarens%C3%A4bel&amp;hl=de&amp;sa=X&amp;ei=SvHsU4LcD4LIyAPj_ICgDA&amp;ved=0CDQQ6AEwBA#v=onepage&amp;q=Husarens%C3%A4bel&amp;f=false</a></p><p>&nbsp;</p>"
2980,"Messer, Pfannen",pfannen und mösser,,
2982,Zinn (englisch),engl. zihn,,
2983,Küchengeschirr,kuchl gschier,,
2984,Blech (ledig),lödiges blech,,
2985,Knoppern (gemahlen),gemahlen knopern,,
2987,Frauenhandschuhe,"frauen handschuech, dames handschuech",,
2988,"Ablasspfennige (Blei), Ablasspfennige (Messing)",bleyene und mössing ablaß pfening,,
2989,Bolus,"polus, pollus, bollus, boly oder rothe erden ","In der Quelle auch als ""rote Erde"" bezeichnet: ""boly oder rothe erden"" [1724, Seite 494]. Eisenthon, Fettthon, ist eine tonige Erde von meist roter und gelber Farbe, die vor allem in Deutschland, Frankreich, Ungarn und Böhmen in Eisenabbaugebieten zu finden ist und in der Medizin, aber aufgrund der Farbe auch zum Anstreichen von Häusern verwendet wird.","Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Bolus</a>&quot;."
2990,Mantel (scharlach),scharlachn mandl,,
2991,Männerkleid (mit wenig Silber bestickt),mans klaid mit wenig silber gestickht,,
2992,Kupferleuchter,kupfer leichter,,
2993,Dorures,"dorures, dorrure, dorrures, dorores, doures","Reiche Zeuge, reiche Spitzen, Points d'Espagne, Bourdaloues, Achselbänder/Epauletten, Tressen, reiche Stickereien etc.","<p>G. P. H. <span style=""font-variant: small-caps"">Norrmann</span>, Gottfried Christian Bohns Waarenlager oder W&ouml;rterbuch der Produkten- und Waarenkunde. Des wohlerfahrnen Kaufmanns zweyte Abtheilung, Bd. 1 (Hamburg 1805) 445.</p><p>&nbsp;http://books.google.at/books?id=_3tQAAAAYAAJ&amp;pg=PA445&amp;dq=dorures&amp;hl=de&amp;sa=X&amp;ei=KUzOU7DFEInpywP98oDIAw&amp;ved=0CCoQ6AEwAg#v=onepage&amp;q=dorures&amp;f=false</p><p>&nbsp;</p>"
2994,Wäsche (alt),alte wäsch,,
2996,"Prunkschiffe, Überfuhrplätten",prunkh:schiff und yberfuhr plöten,,
2997,Schellack,schellackh,"Harzige Substanz aus Gummilack, die u. a. für Siegellack, Polituren und Firnis eingesetzt wurde.","Meyers Konversationslexikon, 18.., Band 14, S. 424, &quot;Schellack&quot;. "
2998,Konterfei,"contrafait, contrafeit, conterfait, contravee, contrafee",Bildnis oder Portrait.,"Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Conterf&auml;t</a>&quot;.<br />"
3000,Stöppel,stöpl,,
7707,Reis (Mailänder),maylender reiß,,
7708,Stoffe (reich),reiche stoffen,,
7709,Kammerleinwand,cammer leinwath,,
3001,Degenkreuz (Messing),mössinge degencreuz,,
3002,Waagbalken,waagbalckhen,,
3003,Equipage,equipage,"Reisegerät und das Gepäck, im engeren Sinne die Ausstattung einer Kutsche.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Equipage</a>&quot;; wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Equipage"">Equipage</a>&quot;."
3004,Waagbalken (alt),alter waagbalckhen,,
3031,Ganzseidenware,"ganz seiden waar, ganz seiden",,
8500,Flanellmuster,flanell muster ,,
3006,Apothekergewicht,apadeckher gewicht,"Die Apothekergewichte waren behördlich festgelegte Maßeinheiten, die in Europa vom 13. bis ins 19. Jahrhundert gebräuchlich waren. In Kontinentaleuropa dominerte das Nürnberger Apothekerpfund, während die österreichischen Länder das schwerere Wiener-Medizinal-Pfund verwendeten. ","Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"" target=""_blank"">Apotheker=Gewicht</a>&quot;; Wikipedia &quot;<a href=""http://de.wikipedia.org/wiki/Apothekergewicht"" target=""_blank"">Apothekergewicht</a>&quot;"
3007,Kaleschenbögen (eisern),eüßene calles pögen,Wahrscheinlich ein Teil eines Wagens.,
3008,Austern,austern,"sind zweischalige Muscheltiere und eine, in ganz Europa aber vor allem im arabischen Raum beliebte Delikatesse.","<p>Kr&uuml;nitz, Enzyklop&auml;die, ""<a href=""http://www.kruenitz1.uni-trier.de/"">Auster</a>"", Wikipedia, ""<a href=""http://de.wikipedia.org/wiki/Austern"">Austern</a>""</p>"
3009,Türgerichte (ausgemacht),ausgemahte thiergericht,,
3010,"Felle, Kürschnerware",kürschner waar und fehl,,
3011,Hauben,hauben,,
3012,"Flinten, Scheibenrohr",flinten und scheibm rohr,,
3013,Papp,"papp, pappn, pappe, papen",Wahrscheinlich Leim [oder Pappe?],http://fwb-online.de/go/pap.s.0mfn_1646707594
3014,Erde (gemein),gmaine erden,,
3015,Nadlerware (grob),grobe nadlerwaar,,
3016,Baye (schwarz),schwarzen boy,,
